Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-11 19:00,6353.73,6359.56,6337.44,6342.96,107.86,684711.31,6348.41
2018-07-11 20:00,6342.97,6354.19,6291,6350,986.73,6231532.37,6315.33
2018-07-11 21:00,6352.99,6370,6345.76,6356.48,126.46,804221.55,6359.53
2018-07-11 22:00,6350.85,6378.47,6345,6361.93,259.1,1646353.87,6354.12
2018-07-11 23:00,6362.36,6381.25,6356.74,6368.78,81.54,519278.69,6368.23
2018-07-12 00:00,6369.49,6381.25,6361.83,6380,124.55,793560.22,6371.51
2018-07-12 01:00,6379.13,6380,6347.72,6365.43,141.5,900280.85,6362.32
2018-07-12 02:00,6365.24,6371.8,6324.48,6327.94,141.3,896772.74,6346.8
2018-07-12 03:00,6328.4,6348.45,6302.18,6326.98,162.37,1026431.72,6321.37
2018-07-12 04:00,6327.49,6343.22,6327.49,6339.5,58.62,371327.65,6334.79
2018-07-12 05:00,6342.22,6344.57,6328,6333.05,74.75,473450.28,6333.6
2018-07-12 06:00,6333.05,6335.55,6305,6329.57,130.84,827194.5,6322.39
2018-07-12 07:00,6329.9,6334.74,6177.45,6217.63,1211.64,7536289.75,6219.89
2018-07-12 08:00,6217.03,6223.14,6131.35,6180.5,758.15,4677685.75,6169.89
2018-07-12 09:00,6180.46,6200.82,6085.59,6200.82,1090.25,6719480.12,6163.23
2018-07-12 10:00,6200.23,6205,6175.01,6185.82,289.87,1794667.77,6191.34
2018-07-12 11:00,6185.4,6187.99,6157.03,6175.18,212.3,1310453.07,6172.68
2018-07-12 12:00,6174.5,6182.13,6144.35,6162.41,261.02,1608275.15,6161.49
2018-07-12 13:00,6167.17,6191.99,6155,6180.31,246.37,1522744.15,6180.8
2018-07-12 14:00,6180.3,6183.99,6170.99,6182.99,258.89,1599120.65,6176.86
2018-07-12 15:00,6182.98,6199.57,6173.5,6180.97,275,1700530.69,6183.74
2018-07-12 16:00,6178.59,6182.55,6159.01,6169.51,166.21,1025666.81,6171.06
2018-07-12 17:00,6168.44,6192.89,6166.78,6181.23,342.08,2115989.77,6185.57
2018-07-12 18:00,6184.08,6189,6167.64,6179.12,168.14,1039237.28,6180.8
2018-07-12 19:00,6179.12,6185,6165.22,6173.99,103.57,639670.03,6175.97
2018-07-12 20:00,6171.06,6180.17,6150.43,6174.76,148.79,916929.71,6162.66
2018-07-12 21:00,6179.38,6187.42,6166.91,6173.05,120.99,747520.42,6178.32
2018-07-12 22:00,6170.03,6176.66,6153.52,6171.68,81.22,500729.79,6165.18
2018-07-12 23:00,6171.94,6173.61,6110.08,6149.11,309.59,1901284.59,6141.24
2018-07-13 00:00,6149.11,6267.31,6072,6243.88,1039.01,6412278.5,6171.54
2018-07-13 01:00,6243.53,6284.05,6214.94,6236.88,466.27,2910899.5,6242.95
2018-07-13 02:00,6236.88,6249.82,6231.94,6232.71,114.45,714175.12,6240.06
2018-07-13 03:00,6232.88,6254.67,6228.76,6242.9,187.3,1168928.22,6240.78
2018-07-13 04:00,6242.89,6252.93,6236.55,6249.87,139.55,871611.63,6245.87
2018-07-13 05:00,6248.2,6264.75,6236.01,6245.68,219.95,1375165.61,6252.05
2018-07-13 06:00,6245.68,6256.75,6229.16,6244.39,242.49,1513210.93,6240.33
2018-07-13 07:00,6243.18,6247.98,6212.21,6230.01,184.38,1148580.47,6229.37
2018-07-13 08:00,6230.4,6253.9,6229.38,6249.19,236.18,1474017.93,6241.07
2018-07-13 09:00,6247.92,6250,6229.1,6233.96,128.9,804393.43,6240.51
2018-07-13 10:00,6232.96,6245.47,6230,6234.85,154.3,962281.91,6236.38
2018-07-13 11:00,6234.85,6245.87,6226.18,6234.22,94.38,588479.19,6234.96
2018-07-13 12:00,6232,6248.99,6228.08,6241.75,62.82,391997.33,6239.99
2018-07-13 13:00,6240.4,6286.36,6238,6269.06,423.94,2655456.13,6263.71
2018-07-13 14:00,6272.4,6275.68,6228.67,6244.01,394,2460513.08,6244.91
2018-07-13 15:00,6237.15,6264.35,6224.15,6245.99,255.99,1599106.41,6246.84
2018-07-13 16:00,6245.99,6259.88,6237,6259.88,195.93,1224745.98,6250.85
2018-07-13 17:00,6259.88,6268.05,6240.81,6254.99,211.09,1319500.19,6250.89
2018-07-13 18:00,6254.99,6267.99,6247.11,6264.94,97.84,612655.54,6261.49
2018-07-13 19:00,6264.91,6337.25,6226.99,6237.5,571.75,3589882.19,6278.74
2018-07-13 20:00,6237.5,6245.78,6166.44,6174.99,521.21,3228298.36,6193.86
2018-07-13 21:00,6177.35,6227.63,6121.01,6186.39,612.28,3779623.53,6173.07
2018-07-13 22:00,6185.5,6229,6180.01,6215.85,125.81,780174.87,6201.03
2018-07-13 23:00,6211.37,6225.39,6190.26,6219.58,123.72,767545.63,6203.98
2018-07-14 00:00,6219.99,6248.94,6196,6215.59,136.74,850825.64,6222.18
2018-07-14 01:00,6208.78,6273.97,6208.78,6237.99,219.37,1370473.06,6247.36
2018-07-14 02:00,6237.98,6277.72,6214.11,6234.38,171.24,1069456.99,6245.48
2018-07-14 03:00,6231.23,6240,6219.1,6225.99,56.15,349888.49,6231.12
2018-07-14 04:00,6226.86,6227.67,6193.5,6206.99,94.03,583969.64,6210.44
2018-07-14 05:00,6203.33,6224.8,6200.03,6216.99,66.12,411019.51,6216.26
2018-07-14 06:00,6218.51,6233.38,6210.57,6220.53,78.19,486424.82,6221.01
2018-07-14 07:00,6220.53,6230.1,6201.97,6212.81,75.07,466915.22,6219.61
2018-07-14 08:00,6212.92,6225,6204.91,6220.06,95.79,595704.78,6218.71
2018-07-14 09:00,6221.8,6225,6203.79,6216.2,98.38,611258.48,6213.23
2018-07-14 10:00,6216.2,6219.54,6180,6195.32,130.22,807423.98,6200.53
2018-07-14 11:00,6203.99,6223.48,6195.73,6220.48,39.45,244914.76,6208.26
2018-07-14 12:00,6220.48,6239.45,6215.79,6233,42.5,264821.93,6230.39
2018-07-14 13:00,6231.13,6242.21,6224.63,6236.12,82.37,513436.44,6233.32
2018-07-14 14:00,6235.76,6240.92,6222.8,6237,32.42,201957.74,6230.31
2018-07-14 15:00,6231.95,6244.43,6226.23,6238.2,48.81,304512.55,6238.15
2018-07-14 16:00,6238.2,6240,6216.18,6239.99,47.57,296455.69,6232.4
2018-07-14 17:00,6239.55,6270.69,6239.55,6262,133.93,838019.93,6257.19
2018-07-14 18:00,6262.99,6270.59,6248.74,6255.49,259.41,1624071.38,6260.75
2018-07-14 19:00,6259.54,6298,6229.48,6237.68,68.14,426747.86,6263.26
2018-07-14 20:00,6239.99,6269.53,6200.01,6267.99,146.93,916476.48,6237.62
2018-07-14 21:00,6269.53,6317.84,6205.47,6270.31,425.57,2664428.61,6260.89
2018-07-14 22:00,6270.3,6286.37,6257.13,6265.61,54.81,343757.75,6271.9
2018-07-14 23:00,6265.07,6277.9,6238.48,6246.57,63.91,399501.47,6251.16
2018-07-15 00:00,6250.99,6261.06,6238.56,6243.98,54.37,339748.71,6248.71
2018-07-15 01:00,6245.99,6255.86,6227.76,6243.42,63.46,396208.02,6243.29
2018-07-15 02:00,6243.42,6247.97,6227.94,6243.93,36.89,230131.13,6237.71
2018-07-15 03:00,6238.55,6250.64,6232.06,6249.61,38.61,240983.43,6241.39
2018-07-15 04:00,6249.61,6252.85,6235.12,6248.6,175.88,1097749.25,6241.44
2018-07-15 05:00,6248.6,6277.28,6248.6,6266.27,77.26,484027.1,6264.99
2018-07-15 06:00,6266.16,6280.41,6258.72,6275.95,46.05,288836.56,6271.58
2018-07-15 07:00,6278.82,6283.57,6266.26,6274.99,86.17,540629.42,6274.09
2018-07-15 08:00,6270.26,6279.5,6256.5,6277,22,137960.07,6269.68
2018-07-15 09:00,6277,6349.47,6267.31,6311.47,299.95,1891954.57,6307.52
2018-07-15 10:00,6305.67,6330.99,6296.72,6302.99,199.63,1260251.48,6313.01
2018-07-15 11:00,6303.85,6384.47,6303.85,6336,508.32,3225731.02,6345.81
2018-07-15 12:00,6332.99,6359.81,6325.96,6353.01,357.15,2268610.84,6351.93
2018-07-15 13:00,6353.01,6360.89,6324.21,6329.26,91.99,583242.7,6340.15
2018-07-15 14:00,6329.26,6359.06,6322.03,6354.96,111.84,709071.63,6340.19
2018-07-15 15:00,6356.86,6362.94,6327.14,6347.99,140.14,889382.77,6346.22
2018-07-15 16:00,6347.98,6376.98,6342.62,6372.36,249.59,1586484.37,6356.25
2018-07-15 17:00,6374.58,6397.21,6362.7,6374.74,106.36,678296.77,6377.18
2018-07-15 18:00,6378.88,6393.51,6354.12,6383,294.5,1879818.44,6383.06
2018-07-15 19:00,6383,6383,6349.47,6349.72,65.63,417658.22,6363.95
2018-07-15 20:00,6354.97,6372.94,6349.47,6362.99,72.23,459477.97,6361.44
2018-07-15 21:00,6362.99,6372.69,6355.29,6372.69,83.2,529393.61,6362.59
2018-07-15 22:00,6372.87,6397.21,6369.12,6379.95,157.75,1006828.31,6382.53
2018-07-15 23:00,6379.95,6388.82,6350.11,6361.63,177.91,1133835.24,6373.24
2018-07-16 00:00,6361.68,6373.07,6336.01,6349.3,93.76,595245.86,6348.86
2018-07-16 01:00,6353.25,6377.82,6340.53,6350.52,117.74,748249.33,6355.28
2018-07-16 02:00,6349.46,6354.99,6339.58,6345.61,112.25,712492.32,6347.11
2018-07-16 03:00,6345.49,6363.53,6333.63,6351.87,223.51,1417294.48,6340.98
2018-07-16 04:00,6351.68,6370,6346.49,6352.93,198.15,1260752.84,6362.53
2018-07-16 05:00,6352.99,6357.17,6338.86,6344.03,97.74,620504.75,6348.29
2018-07-16 06:00,6344.03,6367.99,6342.76,6362.99,158.7,1009238.67,6359.32
2018-07-16 07:00,6362.99,6380.01,6355.07,6363.13,119.64,761752.33,6367.02
2018-07-16 08:00,6362.98,6365.67,6348.41,6359.74,157.83,1002695.44,6353.03
2018-07-16 09:00,6359.74,6396.08,6340,6368.02,372.24,2369598.53,6365.79
2018-07-16 10:00,6367.99,6530,6360,6522.15,1147.69,7418674.01,6464
2018-07-16 11:00,6516.03,6553,6496.46,6542.77,610.8,3983335.56,6521.51
2018-07-16 12:00,6542.99,6667,6527.19,6625.99,912.03,6022860.97,6603.83
2018-07-16 13:00,6627.99,6633.18,6587.3,6599.25,436.89,2886535.04,6607.07
2018-07-16 14:00,6598.72,6619.97,6576.8,6588.18,398.27,2627631.55,6597.56
2018-07-16 15:00,6581.87,6631.4,6580,6621.57,369.45,2443755.81,6614.51
2018-07-16 16:00,6627.63,6647.85,6608.26,6623.44,320.53,2124754.87,6628.8
2018-07-16 17:00,6628.12,6652.26,6610.63,6617.04,697.8,4633743.83,6640.55
2018-07-16 18:00,6619.98,6724.78,6613.72,6665.62,933.84,6232959.77,6674.57
2018-07-16 19:00,6665.8,6700,6659.51,6660.56,436.1,2913361.09,6680.53
2018-07-16 20:00,6661.02,6689.94,6635,6675.01,297.5,1981897.93,6661.93
2018-07-16 21:00,6674.96,6674.96,6651.01,6661.11,245.83,1638392.23,6664.73
2018-07-16 22:00,6656.59,6668.32,6641.35,6661.66,151.51,1008524.63,6656.6
2018-07-16 23:00,6659.17,6697.23,6651.91,6671.97,188.37,1257005.96,6673.09
2018-07-17 00:00,6668.87,6755,6662.04,6721.04,699.65,4700740.52,6718.72
2018-07-17 01:00,6721.21,6741.59,6700.36,6740.87,375.73,2526123.13,6723.24
2018-07-17 02:00,6741.59,6749.11,6696,6721,247.99,1666318.6,6719.27
2018-07-17 03:00,6720.99,6734.87,6712.29,6734.4,194.25,1307163.64,6729.2
2018-07-17 04:00,6734.4,6749.7,6724.5,6738.86,247.25,1665494.07,6736.14
2018-07-17 05:00,6738.86,6755.14,6702.91,6707.47,328.33,2207847.78,6724.55
2018-07-17 06:00,6706.12,6718.3,6679.58,6688.11,306.45,2053621.55,6701.43
2018-07-17 07:00,6689.3,6696.63,6657.95,6670.93,387.29,2587491.88,6680.98
2018-07-17 08:00,6671.21,6702.19,6668.64,6698.76,194.46,1300997.96,6690.16
2018-07-17 09:00,6699.66,6734.78,6694.19,6715.07,341.46,2294438.1,6719.46
2018-07-17 10:00,6719.97,6719.97,6693.17,6702.3,173.23,1161670.06,6706.07
2018-07-17 11:00,6697.33,6720,6696.01,6718.26,155.38,1042120.84,6707.05
2018-07-17 12:00,6719.21,6724.34,6675.63,6683.14,201.22,1348614.56,6702.04
2018-07-17 13:00,6682.19,6708.01,6674.6,6699.3,341.78,2287346.9,6692.51
2018-07-17 14:00,6699.76,6710,6682.88,6697.53,207.8,1391864.94,6698.2
2018-07-17 15:00,6696,6764.47,6690.25,6718,477.88,3212613.38,6722.66
2018-07-17 16:00,6718,6789,6711.68,6779.23,407.12,2747512.48,6748.71
2018-07-17 17:00,6778.18,6778.18,6733.51,6751.72,294.3,1986746.72,6750.82
2018-07-17 18:00,6748.56,7264.47,6745.83,7183.99,2640.49,18620560.8,7051.94
2018-07-17 19:00,7186.99,7468.31,7171.33,7346.91,2600.32,19126407.89,7355.41
2018-07-17 20:00,7348.42,7375.65,7295.13,7295.13,874.26,6408774.66,7330.52
2018-07-17 21:00,7295.13,7332.21,7295.13,7317.11,582.84,4263944.05,7315.87
2018-07-17 22:00,7317.11,7388.38,7312.89,7360.6,378.16,2781076.34,7354.27
2018-07-17 23:00,7360.6,7379,7269.84,7310.56,474.87,3475255.97,7318.34
2018-07-18 00:00,7315.57,7338.55,7296.6,7310.71,270.47,1979623.49,7319.3
2018-07-18 01:00,7310.71,7369.52,7310.71,7341.22,245.16,1799395.28,7339.64
2018-07-18 02:00,7342.1,7352.41,7315.01,7336.99,125.74,922275.1,7334.86
2018-07-18 03:00,7335.94,7449.68,7328.49,7401,511.71,3775483.69,7378.24
2018-07-18 04:00,7401,7546.68,7401,7458.54,1576.15,11798048.6,7485.35
2018-07-18 05:00,7459.92,7471.41,7400,7433,351.11,2608164.78,7428.27
2018-07-18 06:00,7433,7481.07,7416.27,7459.23,281.91,2097039.92,7438.62
2018-07-18 07:00,7459.23,7477.57,7449.25,7464.86,304.67,2272795.48,7459.74
2018-07-18 08:00,7464.36,7466,7403.8,7433.46,665.62,4944348.99,7428.13
2018-07-18 09:00,7436.58,7437.98,7317.83,7362.08,773.15,5691054.24,7360.89
2018-07-18 10:00,7362.98,7395.63,7361.96,7395.63,338.75,2499982.03,7379.96
2018-07-18 11:00,7392.63,7424.42,7362.19,7397.61,269.83,1996662.83,7399.64
2018-07-18 12:00,7397.61,7434.45,7380.97,7410.65,386.63,2866370.21,7413.74
2018-07-18 13:00,7415.62,7468.31,7407.48,7430,462.37,3441667.99,7443.59
2018-07-18 14:00,7433.99,7461.62,7385.98,7449.43,383.98,2851271.78,7425.5
2018-07-18 15:00,7445.35,7525.17,7425.76,7446.3,630.39,4706264.24,7465.67
2018-07-18 16:00,7442.35,7442.35,7378,7422.88,817.06,6055122.46,7410.87
2018-07-18 17:00,7417.81,7451.99,7410.89,7431.18,221.67,1647469.3,7432.17
2018-07-18 18:00,7433.67,7513.38,7428.63,7500.86,1103.91,8247570.88,7471.26
2018-07-18 19:00,7498.5,7599.98,7376,7428.05,1490.02,11172723.69,7498.35
2018-07-18 20:00,7422.02,7442.4,7339.12,7400,649.21,4794432.56,7385.04
2018-07-18 21:00,7393.77,7393.77,7239.15,7336.18,949.03,6922391.06,7294.14
2018-07-18 22:00,7337.99,7357.26,7299.92,7332.6,177.31,1300009.44,7331.66
2018-07-18 23:00,7325.66,7388.99,7278.88,7359.68,324.78,2380734.14,7330.21
2018-07-19 00:00,7362.54,7394.09,7340.71,7374.88,307.69,2268343.66,7372.07
2018-07-19 01:00,7384.92,7384.92,7305,7340.77,201.54,1479387.55,7340.58
2018-07-19 02:00,7342.6,7342.6,7278.84,7298.95,286.2,2091067.8,7306.23
2018-07-19 03:00,7301.74,7342.45,7280.92,7323.19,322.28,2354462.88,7305.61
2018-07-19 04:00,7320.75,7357.26,7316.87,7316.87,131.57,965522.38,7338.63
2018-07-19 05:00,7319.58,7347.16,7305.67,7315.98,203.41,1490708.7,7328.48
2018-07-19 06:00,7312.37,7336.99,7300.33,7329.47,185.65,1359245.16,7321.73
2018-07-19 07:00,7329.47,7362.09,7326.23,7332.58,262.75,1929530.25,7343.63
2018-07-19 08:00,7331.58,7345.39,7293.59,7310.83,202.74,1484532.8,7322.22
2018-07-19 09:00,7310.83,7338.41,7298.38,7324.03,358.44,2622125.54,7315.33
2018-07-19 10:00,7323.44,7420,7321.97,7408.79,532.98,3927556.9,7369.02
2018-07-19 11:00,7407.76,7420.71,7370.46,7374.87,218.13,1611513.72,7387.92
2018-07-19 12:00,7374.83,7434.34,7359.94,7416.99,624.64,4622003.24,7399.42
2018-07-19 13:00,7417.6,7452,7406.78,7423.27,334.26,2482521.47,7426.93
2018-07-19 14:00,7423.27,7513,7414.05,7486.65,703.35,5248927.21,7462.72
2018-07-19 15:00,7484.21,7484.21,7431.1,7448.6,485.06,3616235.46,7455.21
2018-07-19 16:00,7454.44,7483.29,7363.63,7391.83,735.65,5462758.12,7425.76
2018-07-19 17:00,7391.83,7419.99,7348.27,7371.86,609.23,4499487.53,7385.48
2018-07-19 18:00,7363.07,7431.1,7358.62,7422.04,353.88,2620114.63,7403.93
2018-07-19 19:00,7421.89,7450,7406.46,7420.81,248.57,1847374.31,7432.11
2018-07-19 20:00,7424.43,7488,7415,7448.08,335.15,2499285.31,7457.27
2018-07-19 21:00,7448.08,7481.02,7414.66,7416.59,341.19,2541848.79,7449.87
2018-07-19 22:00,7421.22,7460.2,7420.22,7436.93,45.09,335446.22,7438.93
2018-07-19 23:00,7436.93,7570.9,7433.99,7479.61,793.46,5947075.84,7495.07
2018-07-20 00:00,7485.18,7510.43,7431.1,7471.42,288.01,2150833.25,7467.84
2018-07-20 01:00,7474.35,7475.99,7367.09,7409.27,395.84,2932585.49,7408.44
2018-07-20 02:00,7409.62,7456.04,7389.34,7454.99,193.28,1435525.58,7427.21
2018-07-20 03:00,7455.67,7471.23,7440.71,7453.99,165.44,1233432.4,7455.52
2018-07-20 04:00,7455.15,7467.35,7428.37,7464.99,188.45,1404045.57,7450.36
2018-07-20 05:00,7464.99,7466.48,7433.89,7446.46,133.83,996276.67,7444.59
2018-07-20 06:00,7446.46,7454.99,7398.94,7409.78,279.81,2077634.57,7425.27
2018-07-20 07:00,7409.78,7429.36,7338.91,7368.86,630.88,4659133.12,7385.18
2018-07-20 08:00,7366.46,7446.8,7340.56,7439.8,659.84,4872673.97,7384.6
2018-07-20 09:00,7438.04,7503.81,7433.81,7462.19,548.73,4094985.82,7462.62
2018-07-20 10:00,7462.76,7479.99,7425,7441.72,331.32,2468681.38,7450.97
2018-07-20 11:00,7439.52,7471,7437.96,7464.71,234.2,1747024.94,7459.59
2018-07-20 12:00,7465.73,7514.47,7458.15,7494,366.74,2744311.79,7483.08
